"","Year","District","Block","Crop","Yield"
"718",2013,"D11","B111","Barley",3285
"721",2013,"D11","B114","Barley",3285
"722",2013,"D16","B115","Barley",4322
"723",2013,"D16","B116","Barley",4373
"724",2013,"D16","B117","Barley",4512
"725",2013,"D16","B118","Barley",4221
"726",2013,"D16","B119","Barley",3876
"1562",2014,"D22","B1","Barley",3130
"1563",2014,"D22","B120","Barley",3245
"1564",2014,"D22","B3","Barley",3052
"1565",2014,"D22","B4","Barley",2840
"1566",2014,"D22","B5","Barley",2109
"1567",2014,"D22","B6","Barley",3507
"1568",2014,"D22","B7","Barley",2993
"1569",2014,"D22","B8","Barley",4024
"1570",2014,"D22","B9","Barley",3874
"1572",2014,"D4","B11","Barley",3334
"1573",2014,"D4","B12","Barley",4432
"1574",2014,"D4","B13","Barley",3224
"1575",2014,"D4","B14","Barley",4143
"1577",2014,"D18","B16","Barley",3635
"1578",2014,"D18","B17","Barley",3453
"1579",2014,"D18","B18","Barley",4053
"1580",2014,"D18","B19","Barley",4403
"1581",2014,"D18","B20","Barley",2381
"1582",2014,"D18","B21","Barley",3849
"1583",2014,"D18","B22","Barley",3052
"1584",2014,"D1","B23","Barley",3198
"1585",2014,"D1","B24","Barley",2471
"1586",2014,"D1","B25","Barley",3815
"1587",2014,"D1","B26","Barley",3516
"1588",2014,"D1","B27","Barley",2141
"1589",2014,"D1","B28","Barley",2819
"1590",2014,"D1","B29","Barley",3531
"1591",2014,"D1","B30","Barley",2184
"1592",2014,"D1","B31","Barley",2770
"1593",2014,"D1","B32","Barley",3892
"1594",2014,"D17","B33","Barley",2178
"1595",2014,"D17","B34","Barley",1199
"1596",2014,"D17","B35","Barley",2178
"1597",2014,"D17","B36","Barley",3052
"1598",2014,"D17","B37","Barley",2257
"1599",2014,"D6","B38","Barley",1970
"1600",2014,"D6","B39","Barley",2274
"1601",2014,"D6","B40","Barley",3081
"1602",2014,"D6","B41","Barley",4163
"1603",2014,"D6","B42","Barley",2303
"1604",2014,"D19","B43","Barley",4101
"1606",2014,"D19","B45","Barley",2877
"1607",2014,"D19","B46","Barley",2250
"1611",2014,"D5","B50","Barley",3923
"1612",2014,"D5","B51","Barley",3233
"1613",2014,"D5","B52","Barley",3923
"1614",2014,"D5","B53","Barley",4613
"1615",2014,"D12","B54","Barley",2867
"1616",2014,"D12","B55","Barley",3684
