"","Year","District","Block","Crop","Yield"
"2219",2014,"D13","B64","Cotton",510
"2220",2014,"D13","B65","Cotton",510
"2237",2014,"D8","B82","Cotton",472
"2238",2014,"D8","B83","Cotton",558
"2239",2014,"D8","B84","Cotton",585
"2240",2014,"D8","B85","Cotton",599
"2259",2014,"D7","B103","Cotton",272
"2260",2014,"D7","B104","Cotton",381
"2261",2014,"D7","B105","Cotton",455
"2262",2014,"D7","B106","Cotton",478
"2263",2014,"D7","B107","Cotton",485
"2264",2014,"D7","B108","Cotton",557
"2265",2014,"D7","B109","Cotton",617
"2266",2014,"D11","B110","Cotton",539
"2267",2014,"D11","B111","Cotton",539
"2268",2014,"D11","B112","Cotton",539
"2269",2014,"D11","B113","Cotton",539
"2270",2014,"D11","B114","Cotton",539
"2271",2014,"D16","B115","Cotton",435
"2272",2014,"D16","B116","Cotton",435
"2273",2014,"D16","B117","Cotton",582
"2274",2014,"D16","B118","Cotton",435
"2275",2014,"D16","B119","Cotton",406
"3122",2015,"D22","B1","Cotton",270
"3123",2015,"D22","B120","Cotton",182
"3124",2015,"D22","B3","Cotton",185
"3125",2015,"D22","B4","Cotton",212
"3126",2015,"D22","B5","Cotton",281
"3127",2015,"D22","B6","Cotton",426
"3128",2015,"D22","B7","Cotton",469
"3129",2015,"D22","B8","Cotton",225
"3130",2015,"D22","B9","Cotton",225
"3131",2015,"D4","B10","Cotton",149
"3132",2015,"D4","B11","Cotton",277
"3133",2015,"D4","B12","Cotton",239
"3134",2015,"D4","B13","Cotton",302
"3135",2015,"D4","B14","Cotton",168
"3136",2015,"D4","B15","Cotton",120
"3137",2015,"D18","B16","Cotton",301
"3138",2015,"D18","B17","Cotton",282
"3139",2015,"D18","B18","Cotton",308
"3140",2015,"D18","B19","Cotton",430
"3141",2015,"D18","B20","Cotton",310
"3142",2015,"D18","B21","Cotton",205
"3143",2015,"D18","B22","Cotton",226
"3144",2015,"D1","B23","Cotton",535
"3145",2015,"D1","B24","Cotton",239
"3146",2015,"D1","B25","Cotton",273
"3147",2015,"D1","B26","Cotton",119
"3148",2015,"D1","B27","Cotton",264
"3149",2015,"D1","B28","Cotton",301
"3150",2015,"D1","B29","Cotton",395
"3151",2015,"D1","B30","Cotton",445
"3152",2015,"D1","B31","Cotton",334
"3153",2015,"D1","B32","Cotton",327
"3154",2015,"D17","B33","Cotton",374
"3155",2015,"D17","B34","Cotton",447
"3156",2015,"D17","B35","Cotton",315
"3157",2015,"D17","B36","Cotton",163
"3158",2015,"D17","B37","Cotton",280
"3159",2015,"D6","B38","Cotton",433.9
"3160",2015,"D6","B39","Cotton",433.9
"3161",2015,"D6","B40","Cotton",433.9
"3162",2015,"D6","B41","Cotton",433.9
"3163",2015,"D6","B42","Cotton",433.9
"3164",2015,"D19","B43","Cotton",404
"3165",2015,"D19","B44","Cotton",404
"3166",2015,"D19","B45","Cotton",404
"3167",2015,"D19","B46","Cotton",269
"3168",2015,"D19","B47","Cotton",542
"3169",2015,"D19","B48","Cotton",402
"3170",2015,"D19","B49","Cotton",404
"3171",2015,"D5","B50","Cotton",274
"3172",2015,"D5","B51","Cotton",274
"3173",2015,"D5","B52","Cotton",274
"3174",2015,"D5","B53","Cotton",274
"3175",2015,"D12","B54","Cotton",274
"3176",2015,"D12","B55","Cotton",274
"3177",2015,"D12","B56","Cotton",274
"3178",2015,"D12","B57","Cotton",274
"3179",2015,"D12","B58","Cotton",274
"3180",2015,"D3","B60","Cotton",274
"3181",2015,"D3","B61","Cotton",274
"3182",2015,"D13","B62","Cotton",274
