District Id,District Name
D1,Bhiwani
D2,Charkhi Dadri
D3,Faridabad
D4,Fatehabad
D5,Gurugram
D6,Jhajjar
D7,Jind
D8,Kaithal
D9,Karnal
D10,Kurukshetra
D11,Mahendragarh
D12,Mewat
D13,Palwal
D14,Panchkula
D15,Panipat
D16,Rewari
D17,Rohtak
D18,Sirsa
D19,Sonipat
D20,Yamunanagar
D21,Ambala
D22,Hisar
D5,Gurgaon
