"","District","Location","Quarter","Depth"
"1","Ambala","Ambala Cantt","May 2014",NA
"2","Ambala","Balana","May 2014",1.58
"3","Ambala","Dhanaura","May 2014",5.19
"4","Ambala","Kakru","May 2014",1.56
"5","Ambala","Khanahmadpur","May 2014",3.88
"6","Ambala","Mulana","May 2014",2.81
"7","Ambala","Naraingarh","May 2014",12.06
"8","Ambala","Panjokhra","May 2014",3.51
"9","Ambala","Pinjola","May 2014",NA
"10","Ambala","Saha S","May 2014",50
"11","Bhiwani","Badala","May 2014",2.46
"12","Bhiwani","Bajina","May 2014",11.87
"13","Bhiwani","Bamla","May 2014",6.86
"14","Bhiwani","Baundkalan","May 2014",1.83
"15","Bhiwani","Bhawani khera DW","May 2014",6.39
"16","Bhiwani","Bhawani Khera Pz","May 2014",6.81
"17","Bhiwani","Bohal","May 2014",5.81
"18","Bhiwani","Chirya","May 2014",14
"19","Bhiwani","Dadri1","May 2014",2.46
"20","Bhiwani","Dadri-Pz","May 2014",NA
"21","Bhiwani","Dhanana","May 2014",1.07
"22","Bhiwani","Gopi","May 2014",56.8
"23","Bhiwani","Gurera","May 2014",15.87
"24","Bhiwani","Gurera-pz","May 2014",14.63
"25","Bhiwani","Haluwas","May 2014",3.03
"26","Bhiwani","Imlota","May 2014",NA
"27","Bhiwani","Isharwal","May 2014",18.12
"28","Bhiwani","Jhumpa","May 2014",27.7
"29","Bhiwani","Jhumpa PZM","May 2014",NA
"30","Bhiwani","Jhumpa Kalan","May 2014",26.39
"31","Bhiwani","Juikalan","May 2014",NA
"32","Bhiwani","Juikalan Pz","May 2014",28.31
"33","Bhiwani","Lohani","May 2014",8.1
"34","Bhiwani","Manhairu","May 2014",5.28
"35","Bhiwani","Mauhala","May 2014",19.18
"36","Bhiwani","Mehrana","May 2014",11.94
"37","Bhiwani","Miran","May 2014",1.59
"38","Bhiwani","Miran-Pz","May 2014",4.41
"39","Bhiwani","Nayaatela","May 2014",22.21
"40","Bhiwani","Pataudi Khurd","May 2014",11.24
"41","Bhiwani","Sagban","May 2014",4.17
"42","Bhiwani","Sangwan PZM","May 2014",4.17
"43","Bhiwani","Sanwar","May 2014",4.95
"44","Bhiwani","Singhani-pz","May 2014",70.58
"45","Bhiwani","Siwani","May 2014",13.72
"46","Bhiwani","Sui","May 2014",3.41
"47","Bhiwani","Tosham","May 2014",5.13
"48","Bhiwani","Tosham-Pz","May 2014",6.93
"49","Faridabad","Achheja","May 2014",6.85
"50","Faridabad","Badraun","May 2014",7.25
"51","Faridabad","Baghaula","May 2014",1.9
"52","Faridabad","Ballabhgarh","May 2014",27.6
"53","Faridabad","Barauli-Pz","May 2014",8.8
"54","Faridabad","Bhopani","May 2014",19.2
"55","Faridabad","Dighaut","May 2014",10.5
"56","Faridabad","Hathin","May 2014",10.88
"57","Faridabad","Hasanpur","May 2014",NA
"58","Faridabad","Jaindapur","May 2014",9.9
"59","Faridabad","Jawan- Pz","May 2014",16.9
"60","Faridabad","Kabulpur","May 2014",15.9
"61","Faridabad","Khambi","May 2014",2.9
"62","Faridabad","Kot","May 2014",6.65
"63","Faridabad","Lakhnaka","May 2014",7.75
"64","Faridabad","Lalwa","May 2014",6.5
"65","Faridabad","NH-IV CHQ PZ S","May 2014",47.22
"66","Faridabad","Pali2","May 2014",18.1
"67","Faridabad","Palwal","May 2014",6.22
"68","Faridabad","Palwal-Pz","May 2014",7.64
"69","Faridabad","Pehladpur-Pz","May 2014",5.5
"70","Faridabad","Pelak-Pz","May 2014",20.2
"71","Faridabad","Rasul Pur","May 2014",6.14
"72","Faridabad","Thekarka","May 2014",1.29
"73","Faridabad","Tigaon-Pz","May 2014",23.1
"74","Faridabad","Tumsara","May 2014",6.08
"75","Fatehabad","Aharwan S","May 2014",55.5
"76","Fatehabad","Badopal","May 2014",2.31
"77","Fatehabad","Jandli Kalan","May 2014",3.98
"78","Fatehabad","Mehu Wala Pz","May 2014",3
"79","Fatehabad","Nahla","May 2014",6.91
"80","Fatehabad","Ratia- Pz","May 2014",NA
"81","Fatehabad","Sadalpur","May 2014",6.38
"82","Fatehabad","Samain","May 2014",4.18
"83","Fatehabad","Sohu","May 2014",5.14
"84","Fatehabad","Tohana","May 2014",NA
"85","Fatehabad","Uklana Mandi-Pz","May 2014",11.7
"86","Gurgaon","Akaira","May 2014",5.3
"87","Gurgaon","Akbarpur","May 2014",1.2
"88","Gurgaon","Basonda Tripati-Pz","May 2014",23.7
"89","Gurgaon","Chandu Tikly","May 2014",10.39
"90","Gurgaon","Firozepur Jhirka","May 2014",11.1
"91","Gurgaon","Fazilpur Badli-Pz","May 2014",NA
"92","Gurgaon","Gulaltha","May 2014",-0.5
"93","Gurgaon","Gurgaon","May 2014",NA
"94","Gurgaon","Gurgaon Pz","May 2014",35.97
"95","Gurgaon","Indri","May 2014",NA
"96","Gurgaon","Jaraon Pz","May 2014",11.95
"97","Gurgaon","Jhanjrola","May 2014",6.12
"98","Gurgaon","Khera Khurrampur- Pz","May 2014",NA
"99","Gurgaon","Kadipur","May 2014",NA
"100","Gurgaon","Kasan","May 2014",37.6
"101","Gurgaon","Kheri1","May 2014",4.16
"102","Gurgaon","Kherla","May 2014",34.41
"103","Gurgaon","Khori kalan","May 2014",NA
"104","Gurgaon","Lokra – Pz","May 2014",NA
"105","Gurgaon","Luhingakalan","May 2014",3.94
"106","Gurgaon","Malab","May 2014",3.15
"107","Gurgaon","Meoka-Pz","May 2014",17.62
"108","Gurgaon","Mouzabad","May 2014",34.14
"109","Gurgaon","Nagina","May 2014",3.62
"110","Gurgaon","Naharika-Pz","May 2014",29.71
"111","Gurgaon","Nurgarh-Pz","May 2014",NA
"112","Gurgaon","Nuh1","May 2014",3.08
"113","Gurgaon","Pipaka","May 2014",34.46
"114","Gurgaon","Pipaka-Shashola","May 2014",33.95
"115","Gurgaon","Siwari-Pz","May 2014",NA
"116","Gurgaon","Sikarwa","May 2014",2.46
"117","Gurgaon","Sohna","May 2014",12.67
"118","Gurgaon","Wazirpur-Pz","May 2014",16.79
"119","Hisar","Adampur-Pz","May 2014",3.62
"120","Hisar","Agroha-Pz","May 2014",8.52
"121","Hisar","Balawas1","May 2014",14.8
"122","Hisar","Balsamand","May 2014",13.25
"123","Hisar","Balsamand-Pz","May 2014",15.59
"124","Hisar","Banbhauri-Pz","May 2014",5.85
"125","Hisar","Barwala abd","May 2014",11.5
"126","Hisar","Barwala 1","May 2014",NA
"127","Hisar","Barwala-Pz","May 2014",9.14
"128","Hisar","Bas","May 2014",1.4
"129","Hisar","Basra","May 2014",18.26
"130","Hisar","Behbalpur-Pz","May 2014",3.62
"131","Hisar","Chanaut","May 2014",4.59
"132","Hisar","Chawdhariwas","May 2014",8.88
"133","Hisar","Dhamundicross","May 2014",3.9
"134","Hisar","Dhansu","May 2014",4.58
"135","Hisar","Ghaibipur","May 2014",NA
"136","Hisar","Ghursal-Pz","May 2014",8.78
"137","Hisar","Hissar-Pz","May 2014",6.44
"138","Hisar","Juglan","May 2014",8.33
"139","Hisar","Kanoh-Pz","May 2014",10.7
"140","Hisar","Khanda Kheri-Pz","May 2014",7.67
"141","Hisar","Kherijalab-Pz","May 2014",8.55
"142","Hisar","Khotkalan","May 2014",12.18
"143","Hisar","Kirori","May 2014",13.85
"144","Hisar","Kirtan","May 2014",12.47
"145","Hisar","Mangali-Pz","May 2014",4.84
"146","Hisar","Mirka","May 2014",NA
"147","Hisar","Mothmajri","May 2014",8.02
"148","Hisar","Narnaud S","May 2014",11.16
"149","Hisar","Rajli Cross","May 2014",1.6
"150","Hisar","Rajthal1","May 2014",15.99
"151","Hisar","Samani","May 2014",4.89
"152","Hisar","Sorkhi-Pz","May 2014",3.01
"153","Hisar","Umra","May 2014",6.2
"154","Jhajjar","Badli","May 2014",NA
"155","Jhajjar","Bagoa","May 2014",3.38
"156","Jhajjar","Chamanpura","May 2014",2.35
"157","Jhajjar","Chhara","May 2014",4.89
"158","Jhajjar","Chuchakwas","May 2014",4.24
"159","Jhajjar","Dighal","May 2014",1.88
"160","Jhajjar","Dubhaldhan","May 2014",5.54
"161","Jhajjar","Dulhera","May 2014",3.86
"162","Jhajjar","Hasanpur","May 2014",NA
"163","Jhajjar","Gabhana","May 2014",2.24
"164","Jhajjar","Jhajjar","May 2014",3.86
"165","Jhajjar","Kulasi","May 2014",0.82
"166","Jhajjar","Mudsa","May 2014",1.37
"167","Jhajjar","Salhawas","May 2014",NA
"168","Jhajjar","Subnah","May 2014",NA
"169","Jhajjar","Sankol","May 2014",1.95
"170","Jhajjar","Wazirpur","May 2014",1.84
"171","Jind","Alewa Pz","May 2014",30.1
"172","Jind","ATI Krishna1(s)","May 2014",21.15
"173","Jind","Baroda","May 2014",16.56
"174","Jind","Bhuslana-Pz","May 2014",14.93
"175","Jind","Brahmanwas","May 2014",9.69
"176","Jind","Chhabri","May 2014",4.07
"177","Jind","Dhandauli Pz","May 2014",13.43
"178","Jind","Dorana Pz","May 2014",21.94
"179","Jind","Ghaso","May 2014",14.07
"180","Jind","Jhamula","May 2014",4.6
"181","Jind","Julana Pz","May 2014",5.7
"182","Jind","Khatkaran","May 2014",13.38
"183","Jind","Korar","May 2014",11.76
"184","Jind","Lochp Pz","May 2014",NA
"185","Jind","Mohal Khera Pz","May 2014",5.32
"186","Jind","Narwana S","May 2014",2.15
"187","Jind","Narwana S-Pz","May 2014",2.15
"188","Jind","Pillukhera","May 2014",6.1
"189","Jind","Safidon (s)","May 2014",14.2
"190","Jind","Safidon 1(s)","May 2014",15
"191","Jind","Uchana","May 2014",18.67
"192","Jind","Uchana Pz","May 2014",17.6
"193","Kaithal","Bhana-Pz","May 2014",12.66
"194","Kaithal","Guhna","May 2014",23.98
"195","Kaithal","Jakhauli-Pz","May 2014",NA
"196","Kaithal","Jandaula-Pz","May 2014",29
"197","Kaithal","Jateri","May 2014",18.92
"198","Kaithal","Kaithal S","May 2014",4.17
"199","Kaithal","Kalayat","May 2014",3.22
"200","Kaithal","Kalayat S","May 2014",4.77
"201","Kaithal","Kathana-Pz","May 2014",13.4
"202","Kaithal","Kelaram","May 2014",6.36
"203","Kaithal","Kheorak-Pz","May 2014",29.36
"204","Kaithal","Manaspatti-Pz","May 2014",34.08
"205","Kaithal","Mataur","May 2014",6.44
"206","Kaithal","Mundri","May 2014",16.14
"207","Kaithal","Padla 1(s)","May 2014",37.09
"208","Kaithal","Peoda_Pz","May 2014",12.13
"209","Kaithal","Pundri(s)","May 2014",21.89
"210","Kaithal","Rajaund-Pz","May 2014",10.07
"211","Kaithal","Rajound S","May 2014",12.85
"212","Kaithal","Sirsal-Pz","May 2014",22.25
"213","Kaithal","Titiana 1(s)","May 2014",21.34
"214","Karnal","Amin S","May 2014",28.56
"215","Karnal","Balhera-s","May 2014",5.24
"216","Karnal","Dadupur Khurd-Pz","May 2014",12.45
"217","Karnal","Dhomsi(shallow)","May 2014",23.38
"218","Karnal","Dingar Majra-Pz","May 2014",32.78
"219","Karnal","Domsi D","May 2014",22.07
"220","Karnal","Faridpur-Pz","May 2014",26
"221","Karnal","Gangatheri","May 2014",24.89
"222","Karnal","Garhi Khajur S","May 2014",15.52
"223","Karnal","Indri","May 2014",NA
