"","District","Location","Quarter","Depth"
"1","Ambala","Ambala Cantt","May 2015",2.25
"2","Ambala","Ambala Cantt-Pz","May 2015",5.51
"3","Ambala","Ambala City-DW","May 2015",1.09
"4","Ambala","Balana","May 2015",NA
"5","Ambala","Barara S","May 2015",5.3
"6","Ambala","Barara-Pz","May 2015",20.17
"7","Ambala","Bari Bassi-DW","May 2015",NA
"8","Ambala","Bhuragnpur-DW","May 2015",4.58
"9","Ambala","Bhurewala-Pz","May 2015",8.97
"10","Ambala","Bichali Dhamouli-Pz","May 2015",7.75
"11","Ambala","Binjal Pur-DW","May 2015",NA
"12","Ambala","Boh-DW","May 2015",NA
"13","Ambala","Budhha Khera-DW","May 2015",NA
"14","Ambala","Bullana- DW","May 2015",NA
"15","Ambala","Chhapra-DW","May 2015",NA
"16","Ambala","Churmastpur-DW","May 2015",8.21
"17","Ambala","Dhanaura","May 2015",5.62
"18","Ambala","Dukheri-DW","May 2015",NA
"19","Ambala","Hasanpur-DW","May 2015",NA
"20","Ambala","Jansui-DW","May 2015",NA
"21","Ambala","Jauli-DW","May 2015",20.15
"22","Ambala","Kakkar Majra-DW","May 2015",NA
"23","Ambala","Kakru","May 2015",1.96
"24","Ambala","Kalumazra-DW","May 2015",NA
"25","Ambala","Kapoori At Saphera-PZ","May 2015",NA
"26","Ambala","Khanahmadpur","May 2015",3.8
"27","Ambala","Khanna Majra","May 2015",NA
"28","Ambala","Mohra-DW","May 2015",3.6
"29","Ambala","Mulana","May 2015",2.94
"30","Ambala","Nanhera-DW","May 2015",NA
"31","Ambala","Naraingarh","May 2015",11.31
"32","Ambala","Naraingarh-Pz","May 2015",9.45
"33","Ambala","Nasirpur-Pz","May 2015",1.2
"34","Ambala","Nikuwana-DW","May 2015",17.89
"35","Ambala","Panjokhra","May 2015",5.24
"36","Ambala","Pinjola","May 2015",5.45
"37","Ambala","Saha-Pz","May 2015",35.69
"38","Ambala","Salehpur-DW","May 2015",NA
"39","Ambala","Shahpur-DW","May 2015",10.67
"40","Ambala","Shahzadpur","May 2015",3.91
"41","Ambala","Shahzadpur-Pz","May 2015",3.55
"42","Ambala","Sohana-DW","May 2015",NA
