"Sl. No.","District","Location","May 2015","August 2015","November 2015","January 2016"
1.,Ambala,Ambala Cantt,2.25,,1.78,
2.,Ambala,Ambala Cantt-Pz,5.51,,3.50,
3.,Ambala,Ambala City-DW,1.09,,0.99,
4.,Ambala,Balana,,,1.40,
5.,Ambala,Barara S,5.30,,4.90,
6.,Ambala,Barara-Pz,20.17,,19.15,
7.,Ambala,Bari Bassi-DW,,,9.75,
8.,Ambala,Bhuragnpur-DW,4.58,,4.08,
9.,Ambala,Bhurewala-Pz,8.97,,7.70,
10.,Ambala,Bichali Dhamouli-Pz,7.75,,7.15,
11.,Ambala,Binjal Pur-DW,,,5.52,
12.,Ambala,Boh-DW,,,1.91,
13.,Ambala,Budhha Khera-DW,,6.78,,
14.,Ambala,Bullana- DW,,,0.70,
15.,Ambala,Chhapra-DW,,,7.00,
16.,Ambala,Churmastpur-DW,8.21,,4.29,
17.,Ambala,Dhanaura,5.62,4.20,3.24,3.75
18.,Ambala,Dukheri-DW,,,2.60,
19.,Ambala,Hasanpur-DW,,,6.01,
20.,Ambala,Jansui-DW,,,1.32,
21.,Ambala,Jauli-DW,20.15,,18.40,
22.,Ambala,Kakkar Majra-DW,,,10.70,
23.,Ambala,Kakru,1.96,1.49,1.32,1.90
24.,Ambala,Kalumazra-DW,,,2.35,
25.,Ambala,Kapoori At Saphera-PZ,,11.20,,
26.,Ambala,Khanahmadpur,3.80,0.84,2.83,1.10
27.,Ambala,Khanna Majra,,,1.60,
28.,Ambala,Mohra-DW,3.60,,1.75,
29.,Ambala,Mulana,2.94,,2.12,
30.,Ambala,Nanhera-DW,,,17.57,
31.,Ambala,Naraingarh,11.31,,12.02,
32.,Ambala,Naraingarh-Pz,9.45,,21.68,
33.,Ambala,Nasirpur-Pz,1.20,,1.10,
34.,Ambala,Nikuwana-DW,17.89,,18.40,
35.,Ambala,Panjokhra,5.24,4.13,4.51,3.93
37.,Ambala,Pinjola,5.45,4.19,4.19,4.69
38.,Ambala,Saha-Pz,35.69,,35.67,
39.,Ambala,Salehpur-DW,,,2.99,
40.,Ambala,Shahpur-DW,10.67,,8.72,
41.,Ambala,Shahzadpur,3.91,,3.21,
42.,Ambala,Shahzadpur-Pz,3.55,,2.47,
43.,Ambala,Sohana-DW,,,3.97,
44.,Ambala,Tandwal-DW,,,3.80,
45.,Ambala,Tejan-DW,4.48,,3.33,
46.,Ambala,Tharwa-DW,,,2.60,
47.,Ambala,Ugala S,34.30,,34.20,
48.,Bhiwani,Adampur,14.47,,12.50,
49.,Bhiwani,Alak Pura-DW,3.62,,3.03,
50.,Bhiwani,Alampur-DW,9.80,,9.30,
51.,Bhiwani,Badala,3.42,,3.43,
52.,Bhiwani,Bajina,12.62,12.02,12.55,12.68
53.,Bhiwani,Bamla,6.66,,6.78,6.88
54.,Bhiwani,Baundkalan,2.92,1.51,2.24,2.28
55.,Bhiwani,Bhawani khera DW,8.90,,5.86,
56.,Bhiwani,Bhawani Khera Pz,6.40,,5.60,
57.,Bhiwani,Bhiwani,1.98,,2.80,
58.,Bhiwani,Bohal,6.50,4.15,5.58,5.65
59.,Bhiwani,Chirya,15.46,14.71,15.45,16.71
60.,Bhiwani,Dadri,5.15,,4.60,
61.,Bhiwani,Dadri-Pz,2.42,,1.95,
62.,Bhiwani,Dhanana,1.10,,0.77,0.84
63.,Bhiwani,Gopi,58.20,,58.17,
64.,Bhiwani,Gurera,15.44,15.98,16.16,15.96
65.,Bhiwani,Gurera-pz,14.95,,14.97,
66.,Bhiwani,Haluwas,4.15,,3.73,3.91
67.,Bhiwani,Hetampur,,,11.41,
68.,Bhiwani,Imlota,2.59,,1.71,
69.,Bhiwani,Isharwal,18.62,,18.44,
70.,Bhiwani,Jhumpa,26.44,26.49,26.17,
71.,Bhiwani,Jhumpa Kalan,28.42,,26.34,26.69
72.,Bhiwani,Jitwanwas-DW,9.02,,8.80,
73.,Bhiwani,Juikalan,29.27,,29.86,
74.,Bhiwani,Juikalan Pz,29.27,,,
75.,Bhiwani,Kairu-Pz,13.97,,,
