"Sl. No.","District","Location","May 2015","August 2015","November 2015","January 2016"
77.,Bhiwani,Kaloud PZM,24.35,,,
78.,Bhiwani,Kasni kalan,45.62,,45.70,
79.,Bhiwani,Lachhmanpur,9.51,,9.70,
80.,Bhiwani,Lohani,8.61,8.65,11.92,8.89
81.,Bhiwani,Manhairu,5.55,,5.54,
82.,Bhiwani,Mehra-DW,,,18.34,
83.,Bhiwani,Mehrana,12.26,,12.45,
84.,Bhiwani,Miran,1.60,,1.67,
85.,Bhiwani,Miran abd,,,,11.63
86.,Bhiwani,Miran-Pz,4.28,,3.83,
87.,Bhiwani,Nayaatela,23.76,24.11,25.05,
88.,Bhiwani,Paju,,,81.60,
89.,Bhiwani,Pataudi Khurd,,,40.94,
90.,Bhiwani,Pehladgarh-DW,5.25,,5.13,
91.,Bhiwani,Riwasa-DW,1.50,,2.60,
92.,Bhiwani,Runhat-DW,3.97,,3.82,
93.,Bhiwani,Sagban,,,3.89,
94.,Bhiwani,Sangwan PZM,5.04,,,
95.,Bhiwani,Sanwar,4.84,,5.02,
96.,Bhiwani,Singhani-pz,73.77,,74.62,
97.,Bhiwani,Sirsa-DW,7.00,,7.05,
98.,Bhiwani,Siwani,13.61,12.55,13.20,13.30
99.,Bhiwani,Sui,3.25,3.50,3.76,2.75
100.,Bhiwani,Sungarpur,12.31,,12.23,
101.,Bhiwani,Tigrana-DW,3.26,,3.20,
102.,Bhiwani,Tosham,5.09,,4.60,4.70
103.,Bhiwani,Tosham-Pz,7.03,,6.26,
104.,Bhiwani,Unn-DW,3.70,,2.60,
105.,Faridabad,Achheja,7.86,,,
106.,Faridabad,Badraun,7.77,,6.15,
107.,Faridabad,Baghaula,2.02,,1.66,
108.,Faridabad,Ballabhgarh,29.74,,28.31,28.15
109.,Faridabad,Bamnikhera,9.57,,9.55,9.65
110.,Faridabad,Banchari-DW,7.30,,7.36,
111.,Faridabad,Barauli-Pz,10.09,,11.00,
112.,Faridabad,Bazida Pahar-DW,5.75,,5.82,
113.,Faridabad,Bhiduki-DW,5.65,,5.70,
114.,Faridabad,Bhopani,20.07,,15.94,19.92
115.,Faridabad,Bibipur-DW,3.25,,3.35,
117.,Faridabad,Dighaut,9.34,,11.64,10.95
118.,Faridabad,Gulawad-DW,10.10,,10.06,
119.,Faridabad,Hasan pur,19.00,,18.68,
120.,Faridabad,Hathin,9.05,,9.12,9.28
121.,Faridabad,Hodel,11.40,,11.62,11.70
122.,Faridabad,Jawan- Pz,17.52,,,
123.,Faridabad,Khambi,3.31,,3.06,
124.,Faridabad,Kheri Jamalpur-DW,9.60,,,
125.,Faridabad,Kot,,,9.18,
126.,Faridabad,Lakhnaka,8.08,,10.62,
127.,Faridabad,Lalwa,6.84,,6.97,
128.,Faridabad,Mandkola,1.02,,1.13,
129.,Faridabad,Manjhawali-DW,11.50,,,
130.,Faridabad,Nangal Jat-DW,9.45,,9.40,
131.,Faridabad,Pali2,25.06,,28.65,16.65
132.,Faridabad,Palwal,7.63,,6.42,6.95
133.,Faridabad,Palwal-Pz,10.92,,,
134.,Faridabad,Pehladpur-Pz,6.75,,6.42,
135.,Faridabad,Pelak-Pz,20.15,,20.22,
136.,Faridabad,Phulwari-DW,9.85,,9.95,
137.,Faridabad,Pirgarhi- Pz,9.69,,9.52,
138.,Faridabad,Rasul Pur,6.78,,6.69,7.44
139.,Faridabad,Sanped-DW,10.10,,,
140.,Faridabad,Sarai-DW,9.70,,9.78,
141.,Faridabad,Sikri1,6.10,,,5.60
142.,Faridabad,Tumsara,9.58,,9.33,5.40
143.,Fatehabad,Location,May-15,Aug-15,Nov-15,Jan-16
144.,Fatehabad,Aharwan S,48.91,,,46.00
145.,Fatehabad,Badopal,2.00,2.17,1.05,1.15
146.,Fatehabad,Bhattukalan,1.73,,1.90,
147.,Fatehabad,Bhattukalan1,,,,
148.,Fatehabad,Bhattukalan-Pz,,,,
149.,Fatehabad,Bhodiakhera,7.50,,7.25,
150.,Fatehabad,Bhuna,16.10,,16.40,
151.,Fatehabad,Chindhar-DW,3.15,,4.60,
152.,Fatehabad,Dayar1,4.88,,6.00,6.30
153.,Fatehabad,Dhangar-DW,9.10,,,
154.,Fatehabad,Dhingsara,9.15,,9.20,9.45
155.,Fatehabad,Gorakhpur-DW,2.83,,,2.43
157.,Fatehabad,Jandli Kalan,4.71,,4.84,7.62
158.,Fatehabad,Kajal Heri-DW,2.60,,2.70,2.55
159.,Fatehabad,Kanhari-Pz,18.90,,19.14,18.19
160.,Fatehabad,Khara Kheri-DW,2.25,,1.75,
161.,Fatehabad,Machiwali-DW,4.35,,6.10,6.10
162.,Fatehabad,Mehu Wala Pz,4.10,,3.72,5.72
163.,Fatehabad,Munshiwali-Pz,49.65,,21.20,
164.,Fatehabad,Nagpur- Pz,21.55,,25.00,24.80
165.,Fatehabad,Nahla,7.61,6.26,8.27,7.05
166.,Fatehabad,Nangla-DW,9.20,,8.42,7.47
167.,Fatehabad,Nikuwana-Pz,38.85,,37.20,37.16
168.,Fatehabad,Pilimudari,5.48,,5.80,5.87
169.,Fatehabad,Ratia -Pz,44.25,,45.45,45.90
170.,Fatehabad,Ratta Khera-Pz,34.15,,33.35,34.10
171.,Fatehabad,Sadalpur,7.23,,6.33,6.98
172.,Fatehabad,Samain,2.64,,2.79,6.48
173.,Fatehabad,Shekhpur Daroli-DW,5.48,,5.50,5.92
174.,Fatehabad,Tohana,18.40,18.58,18.86,16.35
175.,Gurgaon,Agaon-Pz,11.65,,,
176.,Gurgaon,Akaira,5.96,,5.80,5.10
177.,Gurgaon,Akbarpur,0.91,,,
178.,Gurgaon,Aminabad-DW,3.00,,3.05,
179.,Gurgaon,Badsahapur Ew,24.80,,24.92,
180.,Gurgaon,Bandhwari,20.10,,20.15,20.45
181.,Gurgaon,Basonda Tripati-Pz,24.80,,26.10,
182.,Gurgaon,Bhadas-DW,5.80,,5.60,
183.,Gurgaon,Bhondsi Ew,25.00,,28.02,
184.,Gurgaon,Bhora Kalan-Pz,38.05,,39.80,
185.,Gurgaon,Bilaspur-Pz,25.10,,25.05,
186.,Gurgaon,Budehra-DW,8.75,,8.90,
187.,Gurgaon,Chandu Tikly,10.07,,9.65,11.23
188.,Gurgaon,Daultabad-Pz,10.55,,,
189.,Gurgaon,Farrukh Nagar-Pz,21.10,,21.05,
190.,Gurgaon,Fazilpur Badli-Pz,24.30,,25.64,26.25
191.,Gurgaon,Firozepur Jhirka,13.95,,13.25,13.55
192.,Gurgaon,Gangola-DW,5.70,,5.35,
193.,Gurgaon,Gudhana-Pz,30.55,,28.30,
194.,Gurgaon,Gulaltha,0.28,,0.36,
195.,Gurgaon,Gurgaon Pz,39.89,,39.75,39.17
197.,Gurgaon,Harchandpur Pz,24.25,,24.35,
198.,Gurgaon,Indri,3.67,,2.40,
199.,Gurgaon,Jamalpur-Pz,35.01,,33.17,
200.,Gurgaon,Jaraon Pz,13.22,,12.88,13.65
201.,Gurgaon,Jhandu Sarai-Pz,17.35,,22.73,
202.,Gurgaon,Kadipur,30.85,,23.95,24.00
203.,Gurgaon,Kasan,36.50,,36.65,36.70
204.,Gurgaon,Khera Khurrampur-Pz,17.95,,18.03,
205.,Gurgaon,Kherla,35.80,,,36.00
206.,Gurgaon,Luhingakalan,4.35,,4.37,4.70
207.,Gurgaon,Malab,4.48,,3.71,4.50
208.,Gurgaon,Meoka-Pz,18.09,,15.70,
209.,Gurgaon,Mouzabad,35.84,,36.00,31.00
210.,Gurgaon,Mubarakpur,13.15,,13.35,13.40
211.,Gurgaon,Nagina,5.89,,5.46,4.10
212.,Gurgaon,Naharika-Pz,19.00,,19.10,
213.,Gurgaon,Nuh,,,3.21,2.70
214.,Gurgaon,Nuh1,2.85,,2.55,
215.,Gurgaon,Nurgarh-Pz,19.20,,,
216.,Gurgaon,Pataudi-Pz,38.45,,38.60,
217.,Gurgaon,Pinangwan-Pz,2.15,,2.38,
218.,Gurgaon,Pipaka,34.20,,34.35,
219.,Gurgaon,Pipaka-Shashola,33.95,,33.10,
220.,Gurgaon,Punhana,13.35,,13.40,
221.,Gurgaon,Punhana-Pz,11.15,,11.32,
222.,Gurgaon,Rathiwas,13.60,,13.72,
223.,Gurgaon,Sarauli-DW,1.70,,1.85,
224.,Gurgaon,Sidrawali-Pz,26.95,,27.77,
225.,Gurgaon,Sikarwa,3.45,,4.15,4.35
226.,Gurgaon,Siwari-Pz,17.00,,,
227.,Gurgaon,Sohna,37.64,,39.65,40.17
228.,Gurgaon,Wazirpur-Pz,17.53,,17.50,
229.,Hisar,Adampur S,4.80,,4.70,4.91
230.,Hisar,Adampur-Pz,4.20,,4.19,4.13
231.,Hisar,Agroha abd,11.38,,11.73,
232.,Hisar,Agroha-Pz,8.52,,8.28,11.74
233.,Hisar,Badchappar,1.20,,1.15,
234.,Hisar,Balawas1,14.60,,14.52,8.00
235.,Hisar,Balsamand,14.40,,14.26,14.05
237.,Hisar,Banbhauri-Pz,6.25,,,5.90
238.,Hisar,Barwala abd,,,13.68,13.51
239.,Hisar,Barwala-Pz,12.46,,9.40,5.46
240.,Hisar,Bas,1.35,1.34,1.25,3.29
241.,Hisar,Basra,18.10,17.56,17.90,17.30
242.,Hisar,Behbalpur-Pz,3.60,,3.69,
243.,Hisar,Bhotal Jattan-DW,1.90,,1.70,1.70
244.,Hisar,Bithmara-DW,9.32,,,10.32
245.,Hisar,Chanaut,4.61,,4.31,
246.,Hisar,Chann-DW,7.15,,6.63,7.50
247.,Hisar,Chaudhriwali,14.85,,12.00,13.00
248.,Hisar,Chawdhariwas,9.73,8.83,9.37,9.13
249.,Hisar,Datta-DW,8.05,,7.05,
250.,Hisar,Deva-DW,3.40,,3.09,4.80
251.,Hisar,Dhand-DW,2.03,,,2.25
252.,Hisar,Dhansu,4.65,,4.47,6.41
253.,Hisar,Durjanpur-Pz,8.48,,8.33,
254.,Hisar,Ghursal-Pz,7.48,,8.68,8.75
255.,Hisar,Gurana,2.10,,1.90,1.75
256.,Hisar,Hissar,9.73,7.25,,6.66
257.,Hisar,Hissar-Pz,7.30,,7.08,
258.,Hisar,Jaga Bara-DW,9.00,,9.10,9.30
259.,Hisar,Juglan,9.37,8.67,7.13,3.26
260.,Hisar,Kanoh-Pz,,,,13.00
261.,Hisar,Khanda Kheri-Pz,8.42,,8.67,8.25
262.,Hisar,Kherijalab,9.05,,9.45,9.52
263.,Hisar,Kherijalab-Pz,6.10,,8.18,8.51
264.,Hisar,Khotkalan,10.66,11.53,10.83,11.63
265.,Hisar,Kirori,14.20,,14.32,14.50
266.,Hisar,Kirtan,11.30,12.70,11.21,12.90
267.,Hisar,Ladwi-DW,4.95,,4.80,4.70
268.,Hisar,Litani-DW,5.03,,4.26,4.03
269.,Hisar,Mangali-Pz,5.05,4.80,4.97,5.06
270.,Hisar,Mehanda-DW,5.85,,5.73,5.95
271.,Hisar,Mirka,3.23,1.78,0.57,
272.,Hisar,Moda Khera-DW,4.55,,5.25,5.35
273.,Hisar,Mothmajri,10.07,10.07,9.92,9.97
274.,Hisar,Narnaud S,10.42,,,14.85
275.,Hisar,Pali-DW,12.00,,12.40,12.40
277.,Hisar,Rajthal1,12.90,,18.87,12.90
278.,Hisar,Samani,,7.49,5.18,4.89
279.,Hisar,Sorkhi-Pz,2.20,2.05,2.85,
280.,Hisar,"Talwani Badshahpur-
DW",8.15,,7.98,8.02
281.,Hisar,Talwani Rana-DW,12.00,,9.00,
282.,Hisar,Thurana-DW,1.85,,10.50,1.65
283.,Hisar,Umra,6.77,,6.87,8.55
284.,Jhajjar,Location,May-15,Aug-15,Nov-15,Jan-16
285.,Jhajjar,Asanda-DW,4.30,,3.99,
286.,Jhajjar,Badli,5.63,,5.42,5.72
287.,Jhajjar,Bagoa,3.39,,2.37,
288.,Jhajjar,Bahadurgarh,,,8.72,8.74
289.,Jhajjar,Beri,2.39,,2.19,2.25
290.,Jhajjar,Bhurawas-Pz,,,1.60,
291.,Jhajjar,Chamanpura,2.82,3.20,2.04,2.50
292.,Jhajjar,Chhara,5.41,5.06,5.62,3.91
293.,Jhajjar,Chuchakwas,4.37,4.06,4.26,4.36
294.,Jhajjar,Dehkora-DW,,,1.88,
295.,Jhajjar,Dighal,,,1.60,1.91
296.,Jhajjar,Dubhaldhan,5.40,,4.52,
297.,Jhajjar,Dulhera,3.73,2.84,3.42,3.89
298.,Jhajjar,Gabhana,1.86,,2.19,
299.,Jhajjar,Goria-DW,2.39,,2.58,2.74
300.,Jhajjar,Hasanpur,5.63,,9.16,
301.,Jhajjar,Jakhoda-DW,,,,5.31
302.,Jhajjar,Jhajjar,2.94,1.12,2.15,0.16
303.,Jhajjar,Jhajjar1,2.35,,2.06,2.33
304.,Jhajjar,Jharli,11.68,,11.60,12.15
305.,Jhajjar,Kaliawas- DW,3.13,,,3.23
306.,Jhajjar,Kamalgarh-DW,5.46,,5.52,5.73
307.,Jhajjar,Kheri Asra DW,5.28,,5.16,5.52
308.,Jhajjar,Kherka Gujjar- DW,3.42,,3.90,3.30
309.,Jhajjar,Kulasi,0.62,1.40,0.40,0.65
310.,Jhajjar,Lakeria- DW,1.38,,0.90,1.10
311.,Jhajjar,Lohari- Pz,,,30.00,
312.,Jhajjar,Matanhail-Pz,2.37,,2.28,2.14
313.,Jhajjar,Mudsa,1.02,,0.55,1.23
314.,Jhajjar,Salhawas,3.70,,4.34,
316.,Jhajjar,Sasroli-DW,17.87,,18.54,18.37
317.,Jhajjar,Silana-DW,4.48,,4.02,2.03
318.,Jhajjar,Subnah,2.44,,1.11,6.06
319.,Jhajjar,Wazirpur,1.73,,1.26,
320.,Jhajjar,Yaqubpur,6.12,,5.39,5.09
321.,Jind,Alewa,36.00,,,38.80
322.,Jind,Alewa Pz,32.05,,,33.20
323.,Jind,Anta-Pz,14.40,,15.40,15.00
324.,Jind,Baroda,14.90,,17.60,15.80
325.,Jind,Belrakha,3.45,,,
326.,Jind,Bhambewa-DW,4.62,,4.52,4.27
327.,Jind,Bhana Barahman-DW,6.10,,5.50,5.25
328.,Jind,Bhongra-Dw,16.90,,17.80,18.90
329.,Jind,Bhuslana-Pz,15.69,,17.11,17.60
330.,Jind,Bibipur-OW,17.90,,18.90,
331.,Jind,Brahmanwas,9.17,8.59,8.61,
332.,Jind,Chhabri,4.86,,4.23,
333.,Jind,Dalamwala-DW,27.50,,28.80,28.45
334.,Jind,Danoda Khurd-Pz,4.10,,4.10,4.20
335.,Jind,Dhigana-DW,3.20,,2.20,2.40
336.,Jind,Dorana Pz,24.96,,,27.60
337.,Jind,Ganda Khera-DW,15.05,,15.25,16.05
338.,Jind,Gangoli-DW,2.70,,2.00,1.50
339.,Jind,Ghaso,17.00,,,
340.,Jind,Gurusar-DW,6.50,,7.00,7.00
341.,Jind,Hasanpur-Pz,35.89,,37.34,38.04
342.,Jind,Igra,14.05,,14.75,
343.,Jind,Jamni-DW,12.06,,15.10,14.76
344.,Jind,Jhamula,4.38,5.20,4.12,4.52
345.,Jind,Jhanj Kalan,16.29,,16.45,16.20
346.,Jind,Jind-Pz,23.80,,,24.70
347.,Jind,Julana Pz,6.70,,6.03,6.02
348.,Jind,Kalwan,22.58,,,
349.,Jind,Kalwan-Pz,22.58,,23.18,23.33
350.,Jind,Kandela-Pz,27.30,,28.70,
351.,Jind,Karela-DW,5.00,,4.90,4.70
352.,Jind,Karsola-DW,3.70,,3.40,3.75
353.,Jind,Kharwal,16.10,,,
354.,Jind,Khatkaran,13.84,,14.52,
356.,Jind,Lajwana Kalan,2.00,,1.30,1.20
357.,Jind,Lochap Pz,14.26,,16.35,19.05
358.,Jind,Ludhana,2.13,,1.98,1.83
359.,Jind,Mandi Kalan-DW,13.50,,13.20,13.80
360.,Jind,Mohal Khera Pz,4.87,,6.90,
361.,Jind,Narwana,2.52,,,
362.,Jind,Narwana S-Pz,2.70,,2.60,2.45
363.,Jind,Pega-DW,17.15,,17.75,23.75
364.,Jind,Pillukhera,,6.30,6.52,6.35
365.,Jind,Pillukhera-Pz,6.80,,6.40,6.05
366.,Jind,Pipaltha-Pz,32.05,,33.05,33.05
367.,Jind,Pokerikheri-Pz,20.80,,,
368.,Jind,Rajpura-Pz,20.40,,,
369.,Jind,Rasidan Pz,31.60,,32.50,32.80
370.,Jind,Safidon (s),16.23,,16.80,16.00
371.,Jind,Safidon 1(s),14.26,,16.45,16.17
372.,Jind,Sahanpur-Pz,17.27,,18.17,17.82
373.,Jind,Shanpur-Pz,,,,17.82
374.,Jind,Uchana,18.92,19.02,18.78,19.02
375.,Jind,Uchana Pz,19.68,,20.06,16.65
376.,Kaithal,Bakal-DW,18.00,,,
377.,Kaithal,Balbehra-Pz,31.89,,,
378.,Kaithal,Balu-DW,,,7.90,
379.,Kaithal,Barsana-Pz,22.60,,23.80,
380.,Kaithal,Bhana-Pz,14.78,,16.08,
381.,Kaithal,Chika-Pz,40.25,,42.30,
382.,Kaithal,Dhandh-Pz,28.90,,31.00,
383.,Kaithal,Dhons-Pz,27.90,,28.90,
384.,Kaithal,Dhunderheri-DW,,,17.00,
385.,Kaithal,Guhna,25.09,,31.08,29.58
386.,Kaithal,Harigarh Kingan-Pz,33.10,,35.25,
387.,Kaithal,Jakhauli-Pz,11.47,13.16,12.75,
388.,Kaithal,Jandaula-Pz,29.56,,32.92,
389.,Kaithal,Jateri,21.20,,,
390.,Kaithal,Kaithal S,24.90,,25.90,
391.,Kaithal,Kalayat,,1.95,2.40,
392.,Kaithal,Kalayat S,3.73,,3.72,
393.,Kaithal,Kalesar-DW,10.36,,11.00,
394.,Kaithal,Kamalpur-DW,9.50,,,
396.,Kaithal,Kaul-Pz,28.10,,27.10,
397.,Kaithal,Kelaram,8.28,,9.30,
398.,Kaithal,Khanpur-Pz,35.73,,,
399.,Kaithal,Kheorak-Pz,32.80,,35.20,
400.,Kaithal,Kheri Lamba-DW,3.52,,3.15,
401.,Kaithal,Kheri Raowali-DW,11.84,,12.65,
402.,Kaithal,Manas,,,39.10,
403.,Kaithal,Manaspatti-Pz,39.40,36.30,37.36,
404.,Kaithal,Mataur,8.31,7.81,7.81,
405.,Kaithal,Mundri,17.54,,19.30,18.65
406.,Kaithal,Padla 1(s),39.11,,44.11,
407.,Kaithal,Pai-DW,19.85,,21.15,
408.,Kaithal,Peoda,,18.86,14.25,13.20
409.,Kaithal,Peoda_Pz,12.72,,9.52,
410.,Kaithal,Pharal,,,28.50,
411.,Kaithal,Pundri(s),23.39,,,
412.,Kaithal,Rajaund-Pz,14.10,,14.70,
413.,Kaithal,Ram Garh-DW,2.30,,,
414.,Kaithal,Rasulpur Ghamri-Pz,41.10,,41.30,
415.,Kaithal,Serdha-DW,,,16.00,
416.,Kaithal,Sirsal-Pz,25.94,,26.87,26.10
417.,Kaithal,Siwan-Pz,40.48,,41.93,
418.,Kaithal,Solu Majra-Pz,26.90,,29.00,
419.,Kaithal,Songri-DW,13.80,,13.95,
420.,Kaithal,Tik,,,31.90,
421.,Karnal,Ajanthali-Pz,,,25.76,
422.,Karnal,Amin S,,,32.36,
423.,Karnal,Anchla-Pz,11.95,,10.87,
424.,Karnal,Andhera-PZ,,,9.59,
425.,Karnal,Anjanthali-Pz,24.27,,25.76,
426.,Karnal,Assandh-Pz,15.63,,,
427.,Karnal,Badson- PZ,,,32.48,
428.,Karnal,Balhera-s,11.13,,12.05,
429.,Karnal,Balla- Pz,,,17.64,
430.,Karnal,Bastali,26.48,,28.42,
431.,Karnal,Budanpur-Pz,8.87,,,
432.,Karnal,Chaura-Pz,,,19.72,
433.,Karnal,Chorkharsa-Pz,28.13,,31.76,
434.,Karnal,Dadupur Khurd-Pz,16.00,17.90,15.55,
435.,Karnal,Darar,,,13.72,
437.,Karnal,Domsi D,,,24.01,
438.,Karnal,Dupedi-DW,,,15.07,
439.,Karnal,Faridpur-Pz,25.41,30.80,30.65,25.70
440.,Karnal,Gangateri-Pz,,,24.29,
441.,Karnal,Gangatheri,24.36,28.75,24.29,
442.,Karnal,Garhi Khajur S,15.22,,16.27,
443.,Karnal,Ghiar-Pz,8.48,,8.98,
444.,Karnal,Gondar-Pz,24.69,,25.89,
445.,Karnal,Gondhar,,,27.44,
446.,Karnal,Indri,10.92,,10.11,7.99
447.,Karnal,Jaisingh Pura-Dw,19.06,,19.48,
448.,Karnal,Jalmana PZ,24.25,,24.13,
449.,Karnal,Jaroli Khurd-Pz,,,8.74,8.06
450.,Karnal,Jhanjari-Pz,16.12,,17.10,
451.,Karnal,Jundla1,18.52,,20.94,
452.,Karnal,Kachhwa Pz,19.37,,18.53,
453.,Karnal,Kalri Jagir S,3.56,,3.61,
454.,Karnal,Kalsi,,,26.22,
455.,Karnal,Kohnd S,,,29.42,
456.,Karnal,Kurlan-Pz,20.89,,20.33,
457.,Karnal,Kutail S,23.59,,24.37,
458.,Karnal,Majra Roran,21.93,,23.91,
459.,Karnal,Manak Majra-Pz,24.69,,25.20,
460.,Karnal,Mehmadpur-Pz,12.56,,12.18,
461.,Karnal,Mohidinpur-Pz,,,16.44,
462.,Karnal,Mound S,24.14,,,
463.,Karnal,Mound S,,,26.59,
464.,Karnal,Munak,5.86,,5.54,
465.,Karnal,Nalipur-Pz,13.89,,13.77,
466.,Karnal,Nalvi Kalan-Pz,,,13.05,
467.,Karnal,Nanhera,7.75,,7.48,
468.,Karnal,Nasirpur-Pz,11.13,,10.38,
469.,Karnal,Nisang-Pz,,,31.76,
470.,Karnal,Nisang-S,29.96,,,
471.,Karnal,Padhana-DW,19.33,,19.32,
472.,Karnal,Phurlak S,20.53,,22.27,
473.,Karnal,Phusgarh-Pz,21.53,,20.86,
474.,Karnal,Rambha-Pz,8.57,,7.11,
475.,Karnal,Randauli-Pz,8.97,,8.26,
477.,Karnal,Rattak-Pz,24.99,,25.11,
478.,Karnal,Sagga-Pz,22.33,,23.97,
479.,Karnal,Salwan-B,19.92,,18.07,
480.,Karnal,Sambli-Pz-M,,,24.67,
481.,Karnal,Sambli-Pz-S,22.27,,24.60,
482.,Karnal,Samora1,,,8.82,
483.,Karnal,Taraori-Pz,22.43,,22.84,
484.,Karnal,Udana-Pz,34.46,,33.66,
485.,Kurukshetra,Adhoya-Pz,34.60,,36.50,
486.,Kurukshetra,Bachki-Pz,30.77,,33.20,32.30
487.,Kurukshetra,Baronda-Pz,19.90,21.50,19.08,18.60
488.,Kurukshetra,Bateri,31.25,,,
489.,Kurukshetra,Berthala S,36.33,,38.15,
490.,Kurukshetra,Bodhni (s),34.27,,35.91,
491.,Kurukshetra,Chhapra-Pz,34.00,,35.10,
492.,Kurukshetra,Dabkhera-Pz,,40.10,35.18,33.55
493.,Kurukshetra,Ishaque S,29.87,,32.59,
494.,Kurukshetra,Ismilabad-St-Pz,38.10,,40.20,
495.,Kurukshetra,Jansa-Pz,39.60,,,
496.,Kurukshetra,Jogna Khera-Pz,29.60,,31.21,
497.,Kurukshetra,Kaulapur S,34.76,,38.58,
498.,Kurukshetra,Kharindwa,,,40.90,
499.,Kurukshetra,Kirmach-St-Pz,,,26.60,
500.,Kurukshetra,Lohara-Pz,38.60,,39.30,
501.,Kurukshetra,Lukhi-Pz,33.20,,34.60,
502.,Kurukshetra,Malikpur-Singhpura-Pz,38.00,36.75,,
503.,Kurukshetra,Mohri-Dw,6.47,,6.85,
504.,Kurukshetra,Mohri-Pz,32.00,,32.70,
505.,Kurukshetra,Murtzapur-Pz,,27.28,37.99,27.25
506.,Kurukshetra,Naisi-Pz,38.25,,40.15,
507.,Kurukshetra,Nalvi,,,43.85,
508.,Kurukshetra,Pehowa 3 (s),35.92,,,
509.,Kurukshetra,Ram Sharan Majra-Pz,,38.90,,
510.,Kurukshetra,Samalkhi-Pz,46.01,43.70,,43.50
