"","X","Year","District","Block","Crop","Yield"
"112",1683,2014,"D22","B3","Paddy",0.130018957447951
"113",1684,2014,"D22","B4","Paddy",-0.288758063486189
"114",1685,2014,"D22","B5","Paddy",3.45809713262499
"115",1686,2014,"D22","B6","Paddy",-0.218654421215275
"116",1687,2014,"D22","B7","Paddy",-0.498146573953258
"117",1688,2014,"D22","B8","Paddy",-0.27676665099248
"118",1689,2014,"D22","B9","Paddy",-2.59203167862395
"119",1690,2014,"D4","B10","Paddy",0.878098613786248
"120",1691,2014,"D4","B11","Paddy",0.308045312162243
"121",1692,2014,"D4","B12","Paddy",-0.408672188423277
"122",1693,2014,"D4","B13","Paddy",-0.0148004088222253
"123",1694,2014,"D4","B14","Paddy",1.39096210197872
"124",1695,2014,"D4","B15","Paddy",1.47213474039767
"125",1696,2014,"D18","B16","Paddy",0.570011554332498
"126",1697,2014,"D18","B17","Paddy",0.209346763175563
"127",1698,2014,"D18","B18","Paddy",0.160458696855058
"128",1699,2014,"D18","B19","Paddy",1.10316820212971
"129",1700,2014,"D18","B20","Paddy",1.36974652602831
"130",1701,2014,"D18","B21","Paddy",1.94533432572633
"131",1702,2014,"D18","B22","Paddy",0.689003262923916
"132",1703,2014,"D1","B23","Paddy",-2.59203167862395
"133",1704,2014,"D1","B24","Paddy",-1.30341604372309
"134",1705,2014,"D1","B25","Paddy",-1.2692866389333
"135",1706,2014,"D1","B26","Paddy",-1.49804589265944
"136",1707,2014,"D1","B27","Paddy",-0.904932182393689
"137",1708,2014,"D1","B28","Paddy",-1.2692866389333
"138",1709,2014,"D1","B29","Paddy",-2.59203167862395
"139",1710,2014,"D1","B30","Paddy",-2.59203167862395
"140",1711,2014,"D1","B31","Paddy",-1.2692866389333
"141",1712,2014,"D1","B32","Paddy",-2.59203167862395
"142",1713,2014,"D17","B33","Paddy",0.118949961299912
"143",1714,2014,"D17","B34","Paddy",-1.16136392648992
"144",1715,2014,"D17","B35","Paddy",-0.125490370302615
"145",1716,2014,"D17","B36","Paddy",-0.749966236321144
"146",1717,2014,"D17","B37","Paddy",-0.264775238498771
"147",1718,2014,"D6","B38","Paddy",0.0257859103872508
"148",1719,2014,"D6","B39","Paddy",-0.117188623191585
"149",1720,2014,"D6","B40","Paddy",-1.10325169671272
"150",1721,2014,"D6","B41","Paddy",-0.544267391236754
"151",1722,2014,"D6","B42","Paddy",-0.445568842250073
"152",1723,2014,"D19","B43","Paddy",0.00364791809117293
"153",1724,2014,"D19","B44","Paddy",-0.202050926993217
"154",1725,2014,"D19","B45","Paddy",-0.202973343338887
"155",1726,2014,"D19","B46","Paddy",-0.3773100326705
"156",1727,2014,"D19","B47","Paddy",-0.495379324916248
"157",1728,2014,"D19","B48","Paddy",-0.573784714298191
