"","X","Year","District","Block","Crop","Yield"
"81",81,2012,"Kurukshetra","Babain","Wheat",0.80266788573018
"82",82,2012,"Kaithal","Kaithal","Wheat",0.273704107807839
"83",83,2012,"Kaithal","Pundri","Wheat",1.04323385920018
"84",84,2012,"Kaithal","Kalayat","Wheat",0.166785897376727
"85",85,2012,"Kaithal","Rajound","Wheat",-0.0976959915844433
"86",86,2012,"Kaithal","Gulha","Wheat",0.480506435878541
"87",87,2012,"Kaithal","Siwan","Wheat",0.742174687723104
"88",88,2012,"Ambala","Ambala-I","Wheat",-0.127239181308829
"89",89,2012,"Ambala","Ambala-II","Wheat",0.443929153362635
"90",90,2012,"Ambala","Barara","Wheat",0.228685913942108
"91",91,2012,"Ambala","Saha","Wheat",-0.469096090976725
"92",92,2012,"Ambala","Naraingarh","Wheat",-0.694187060305381
"93",93,2012,"Ambala","Sahazadpur","Wheat",-0.902396206934388
"94",94,2012,"Panchkula","Morni","Wheat",-3.0337263227651
"95",95,2012,"Panchkula","Barwala","Wheat",-1.19360764850334
"96",96,2012,"Panchkula","Raipurrani","Wheat",-0.357957424870702
"97",97,2012,"Panchkula","Pinjore","Wheat",-1.27098266921006
"98",98,2012,"Yamuna Nagar","Jagadhari","Wheat",-0.035795975019063
"99",99,2012,"Yamuna Nagar","Bilaspur","Wheat",-0.235564210298245
"100",100,2012,"Yamuna Nagar","Radaur","Wheat",0.681681489716027
"101",101,2012,"Yamuna Nagar","Sadaura","Wheat",-0.0245414265526302
"102",102,2012,"Yamuna Nagar","Chhachhrauli","Wheat",-0.502859736376024
"103",103,2012,"Yamuna Nagar","Mustafabad","Wheat",-0.0695596204183613
"104",104,2012,"Jind","Jind","Wheat",-0.145527822566783
"105",105,2012,"Jind","Julana","Wheat",-0.552098385916667
"106",106,2012,"Jind","Alewa","Wheat",-0.467689272418421
"107",107,2012,"Jind","Safidon","Wheat",0.200549542776026
"108",108,2012,"Jind","Pillukhera","Wheat",0.218838184033979
"109",109,2012,"Jind","Uchana","Wheat",-0.287616496955497
"110",110,2012,"Jind","Narwana","Wheat",-0.0161005152028056
"111",111,2012,"Mahendergarh","Kanina","Wheat",0.203363179892634
"112",112,2012,"Mahendergarh","Mahendergarh","Wheat",0.956011108585327
"113",113,2012,"Mahendergarh","Ateli","Wheat",1.30771574816135
"114",114,2012,"Mahendergarh","Narnaul","Wheat",-0.0597118905102327
"115",115,2012,"Mahendergarh","Nangal Chaudhary","Wheat",0.193515449984505
"116",116,2012,"Rewari","Rewari","Wheat",0.442522334804331
"117",117,2012,"Rewari","Khol","Wheat",1.06714977469135
"118",118,2012,"Rewari","Jatusana","Wheat",0.880042906436905
"119",119,2012,"Rewari","Bawal","Wheat",1.0854384159493
"120",120,2012,"Rewari","Nahar","Wheat",0.457997338945676
"121",361,2013,"Hisar","Hansi I","Wheat",-0.114577814284093
"122",362,2013,"Hisar","Hansi-II","Wheat",0.26385637789971
"123",363,2013,"Hisar","Narnaund","Wheat",-0.380466521803567
"124",364,2013,"Hisar","Hisar I","Wheat",0.574763279284916
"125",365,2013,"Hisar","Hisar II","Wheat",0.429860967779594
"126",366,2013,"Hisar","Barwala","Wheat",0.00640858173006
"127",367,2013,"Hisar","Uklana","Wheat",1.09669296441574
"128",368,2013,"Hisar","Agroha","Wheat",0.148497256118774
"129",369,2013,"Hisar","Adampur","Wheat",-0.0189141523194138
"130",370,2013,"Fatehabad","Ratia","Wheat",1.67348857332042
"131",371,2013,"Fatehabad","Fatehabad","Wheat",1.48216124939106
"132",372,2013,"Fatehabad","Bhattukalan","Wheat",1.14030433972316
"133",373,2013,"Fatehabad","Bhuna","Wheat",0.91943382606942
"134",374,2013,"Fatehabad","Tohana","Wheat",1.45965215245819
"135",375,2013,"Fatehabad","Jakhal","Wheat",1.36961576472673
"136",376,2013,"Sirsa","Sirsa","Wheat",1.38087031319316
"137",377,2013,"Sirsa","Nathusari","Wheat",1.19798390061363
"138",378,2013,"Sirsa","Baragudha","Wheat",1.43292259985042
